,chi_x0_1,chi_y0_1,chi_x0_2,chi_y0_2,chi_x0_3,chi_y0_3,chi_x0_4,chi_y0_4,chi_x1_1,chi_y1_1,chi_x1_2,chi_y1_2,chi_x1_3,chi_y1_3,chi_x1_4,chi_y1_4
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84,0.0,5.99,0.0,7.81,0.0,9.49,0.0
1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.84,0.05,5.99,0.05,7.81,0.05,9.49,0.05
2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.84,0.05004352124870519,5.99,0.05003662708658629,7.81,0.05010605635000589,9.49,0.049953131223294894
3,0.0783673469387755,0.7795222453402716,0.12224489795918368,0.9407080439832705,0.1593877551020408,0.9838627450834956,0.1936734693877551,0.995603300528213,4.156862745098039,0.04146614073719325,6.264705882352941,0.043615052770713855,8.049019607843137,0.04500940741437927,9.69607843137255,0.04587051296434808
4,0.156734693877551,0.6921807727218765,0.24448979591836736,0.8849316240148306,0.3187755102040816,0.956459490587801,0.3873469387755102,0.9834996785033205,4.473725490196078,0.03441986453430918,6.539411764705883,0.03801760708011655,8.288039215686274,0.04041919075981443,9.902156862745098,0.04210848649020314
5,0.23510204081632652,0.6277662789019631,0.36673469387755103,0.8324622970859302,0.4781632653061224,0.9236619789760535,0.5810204081632653,0.9651492205914375,4.790588235294118,0.028615652396013807,6.814117647058824,0.03313852342897149,8.527058823529412,0.03628685579751693,10.108235294117648,0.03864341074630367
6,0.313469387755102,0.5755589927872229,0.48897959183673473,0.7831039791815257,0.6375510204081632,0.8877846444366888,0.7746938775510204,0.9418081452438655,5.107450980392157,0.0238232971080615,7.088823529411765,0.028885609047888682,8.766078431372549,0.03256823271632549,10.314313725490196,0.03545320078327882
7,0.39183673469387753,0.5313355127853883,0.6112244897959184,0.7366722124913688,0.7969387755102041,0.8501990970121962,0.9683673469387755,0.9145539972886226,5.424313725490196,0.019858238600356452,7.363529411764706,0.02517850295460087,9.005098039215685,0.029223182056899083,10.520392156862746,0.03251724966985449
8,0.47020408163265304,0.4928932964396342,0.7334693877551021,0.6929934760695837,0.9563265306122448,0.8118179408028244,1.1620408163265306,0.8843079284662778,5.741176470588235,0.016571689020030464,7.6382352941176475,0.021947157492293964,9.244117647058824,0.02621526430756642,10.726470588235294,0.02981635077961879
9,0.5485714285714285,0.45890199580774516,0.8557142857142858,0.6519045373665853,1.1157142857142857,0.7732820108670935,1.3557142857142856,0.8518543871998021,6.058039215686275,0.013843130136519603,7.912941176470588,0.0191305147434724,9.48313725490196,0.023511430030212156,10.932549019607844,0.02733262112698109
10,0.626938775510204,0.4284804194979964,0.9779591836734695,0.6132518422099391,1.2751020408163265,0.7350536616042365,1.5493877551020407,0.8178585060350166,6.374901960784314,0.011574543607006648,8.18764705882353,0.016675352809525135,9.722156862745098,0.021081730552201788,11.138627450980392,0.025049426291839167
11,0.7053061224489796,0.40100648340992384,1.100204081632653,0.5768909409544491,1.4344897959183673,0.6974704171970104,1.7430612244897958,0.7828814440147196,6.691764705882353,0.009685927955281738,8.462352941176471,0.01453528015585771,9.961176470588235,0.018899048907914977,11.344705882352942,0.02295130735676345
12,0.7836734693877551,0.3760200115733051,1.2224489795918367,0.5426859486569283,1.5938775510204082,0.6607788394439911,1.936734693877551,0.7473939133733951,7.008627450980392,0.008111784520640392,8.737058823529413,0.01266985902022948,10.200196078431372,0.016938850455857295,11.55078431372549,0.021023910182291074
13,0.8620408163265305,0.35316821319168956,1.3446938775510204,0.5105090372582646,1.753265306122449,0.6251573396742727,2.1304081632653062,0.7117880950174464,7.325490196078432,0.006798341994575249,9.011764705882353,0.011043841320650349,10.43921568627451,0.015178952414448641,11.75686274509804,0.01925391726287178
14,0.9404081632653061,0.33217289461578847,1.4669387755102041,0.4802399578750046,1.9126530612244896,0.5907322843226805,2.324081632653061,0.6763881249802643,7.642352941176471,0.005701349875500482,9.286470588235295,0.009626502624927778,10.678235294117647,0.013599311435371105,11.962941176470588,0.0176289823361023
15,1.0187755102040816,0.31280963773470055,1.5891836734693878,0.4517655914152038,2.0720408163265307,0.5575897723866265,2.517755102040816,0.6414593141359901,7.95921568627451,0.004784314164550315,9.561176470588236,0.00839106159687961,10.917254901960785,0.01218182825491554,12.169019607843138,0.016137667859341346
16,1.097142857142857,0.2948939838180841,1.7114285714285715,0.42497952583914167,2.2314285714285713,0.5257844813994266,2.7114285714285713,0.6072162456727574,8.27607843137255,0.004017079582035668,9.835882352941177,0.0073141739493532976,11.156274509803922,0.01091016842079022,12.375098039215686,0.014769385419063648
17,1.1755102040816325,0.27827192778627297,1.8336734693877552,0.39978165848507674,2.3908163265306124,0.49534645015718526,2.9051020408163266,0.5738298789433283,8.592941176470589,0.003374685206976325,10.110588235294118,0.006375491342036193,11.395294117647058,0.009769598076095579,12.581176470588236,0.013514339098025862
18,1.253877551020408,0.2628131762767509,1.955918367346939,0.37607782197388434,2.550204081632653,0.4662863635996911,3.0987755102040815,0.5414337741290662,8.909803921568628,0.002836437194571942,10.38529411764706,0.005557276889206657,11.634313725490196,0.008746833787041929,12.787254901960784,0.012363471792294514
19,1.3322448979591837,0.24840624047613227,2.0781632653061224,0.3537794322945414,2.7095918367346936,0.438599722489026,3.2924489795918364,0.5101295394934682,9.226666666666667,0.002385154778973634,10.66,0.004844070012248967,11.873333333333333,0.007829905421237062,12.993333333333334,0.0113084144433887
20,1.4106122448979592,0.23495478370333983,2.200408163265306,0.33280315775530983,2.8689795918367347,0.41227016535498306,3.4861224489795917,0.479991591703807,9.543529411764705,0.0020065552739101174,10.934705882352942,0.00422239430414983,12.112352941176471,0.007008031114828241,13.199411764705882,0.01034143812931726
21,1.4889795918367346,0.2223748494367606,2.32265306122449,0.31307060756345323,3.0283673469387753,0.38727213486306117,3.679795918367347,0.4510713096202319,9.860392156862746,0.0016887510496713565,11.209411764705884,0.003680502885927453,12.351372549019608,0.006271503406141046,13.405490196078432,0.009455408941354082
22,1.5673469387755101,0.21059272118690606,2.4448979591836735,0.29450803886967025,3.1877551020408164,0.36357302992114593,3.873469387755102,0.42340065296227447,10.177254901960785,0.0014218370664248136,11.484117647058824,0.003208156443373135,12.590392156862745,0.00561158565811343,13.611568627450982,0.008643745560315374
23,1.6457142857142857,0.19954324489432726,2.567142857142857,0.2770460811824365,3.347142857142857,0.3411349495594417,4.067142857142857,0.3969953092477873,10.494117647058824,0.0011975518951220085,11.758823529411766,0.0027964297499967865,12.829411764705881,0.005020417939741631,13.81764705882353,0.00790037943628468
24,1.724081632653061,0.18916849593150098,2.689387755102041,0.26061947712236017,3.506530612244898,0.3199161095331917,4.2608163265306125,0.37185742525559323,10.810980392156864,0.0010089985606068946,12.033529411764707,0.0024375430203288128,13.06843137254902,0.004490931586349359,14.023725490196078,0.007219717468662953
25,1.8024489795918366,0.1794167069379191,2.8116326530612246,0.24516683854771806,3.6659183673469387,0.2998719943777764,4.454489795918367,0.34797797289804533,11.127843137254903,0.0008504142199578842,12.308235294117647,0.0021247149069131954,13.307450980392158,0.004016771708550581,14.229803921568628,0.006596607078657476
26,1.8808163265306121,0.17024139590960988,2.9338775510204083,0.23063041713978633,3.8253061224489793,0.28095629416017676,4.648163265306122,0.3253387937203462,11.444705882352942,0.0007169798087865113,12.58294117647059,0.0018520343632951232,13.546470588235294,0.003592226969375429,14.435882352941178,0.006026303563480931
27,1.9591836734693877,0.16160065002673663,3.056122448979592,0.21695588859061396,3.9846938775510203,0.2631216650206662,4.841836734693877,0.30391436119571225,11.76156862745098,0.0006046624742165803,12.857647058823531,0.0016143489517890907,13.785490196078431,0.0032121659974818076,14.641960784313726,0.005504439620280469
28,2.0375510204081633,0.15345653202669643,3.1783673469387757,0.2040921495867289,4.144081632653061,0.24632034484470305,5.035510204081632,0.28367329549280523,12.07843137254902,0.0005100849604591433,13.132352941176471,0.0014071674855458678,14.024509803921568,0.0028719798511846486,14.848039215686274,0.0050269969278717115
29,2.115918367346939,0.14577458404295607,3.3006122448979593,0.19199112683007277,4.303469387755102,0.23050464940228138,5.229183673469388,0.2645796613948309,12.39529411764706,0.0004304171938462501,13.407058823529411,0.0012265751652906416,14.263529411764706,0.002567529992849459,15.054117647058824,0.00459027967547012
30,2.194285714285714,0.13852340972831134,3.422857142857143,0.1806075973824617,4.462857142857143,0.21562736958988946,5.422857142857143,0.24659407649512444,12.712156862745099,0.00036328618479084137,13.681764705882355,0.0010691596071978186,14.502549019607844,0.0022951012757858333,15.260196078431374,0.004190889929584051
31,2.2726530612244895,0.13167431982789932,3.5451020408163267,0.1698990196621736,4.622244897959184,0.20164208668773792,5.6165306122448975,0.22967465363424214,13.029019607843138,0.00030670106775150877,13.956470588235295,0.0009319463641614936,14.741568627450981,0.002051359486000601,15.466274509803922,0.0038257047328815945
32,2.351020408163265,0.12520102961031493,3.6673469387755104,0.1598253744610785,4.781632653061225,0.1885034195700925,5.810204081632653,0.2137777987360097,13.345882352941178,0.0002589906707216911,14.231176470588236,0.0008123427221031648,14.980588235294118,0.0018333130189611862,15.67235294117647,0.0034918548320158694
33,2.4293877551020406,0.1190793990127098,3.789591836734694,0.15034901538817494,4.941020408163265,0.17616721540908023,6.003877551020408,0.19885888270650098,13.662745098039217,0.00021875146957058857,14.505882352941176,0.000708088709319358,15.219607843137254,0.0016382783068659124,15.87843137254902,0.003186704934963002
34,2.507755102040816,0.11328720822235352,3.911836734693878,0.14143452818062063,5.100408163265306,0.1645906934656938,6.197551020408163,0.1848728038464933,13.979607843137256,0.00018480416066656501,14.780588235294118,0.0006172143931657933,15.458627450980392,0.0014638486448487523,16.08450980392157,0.0029078354022846315
35,2.5861224489795918,0.10780396285509844,4.034081632653061,0.1330485983564884,5.259795918367347,0.15373254997036914,6.391224489795918,0.17177445526411403,14.296470588235294,0.00015615739419710592,15.05529411764706,0.000538002657177242,15.69764705882353,0.0013078660951224264,16.290588235294116,0.0026530252807827155
36,2.6644897959183673,0.10261072400881506,4.156326530612245,0.12515988671464798,5.419183673469387,0.1435530307869497,6.584897959183673,0.15951911003292618,14.613333333333333,0.00013197746366142975,15.33,0.00046895675527777834,15.936666666666667,0.0011683961763692945,16.496666666666666,0.0024202365921922203
37,2.742857142857143,0.09768995934615682,4.2785714285714285,0.11773891221650425,5.578571428571428,0.13401397747200816,6.7785714285714285,0.14806273529729247,14.930196078431374,0.00011156295469936579,15.604705882352942,0.00040877203000172236,16.175686274509804,0.0010437050718232943,16.702745098039216,0.002207599793794551
38,2.8212244897959184,0.09302541205357776,4.400816326530612,0.11075794181190565,5.737959183673469,0.12507885144289024,6.972244897959183,0.13736224515978115,15.247058823529413,9.432352719228245e-05,15.879411764705884,0.0003563112603266657,16.41470588235294,0.0009322391135581946,16.908823529411766,0.0020134003320793556
39,2.8995918367346936,0.0886019850749452,4.523061224489796,0.10419088679749064,5.89734693877551,0.11671274021835058,7.165918367346938,0.1273757009752211,15.563921568627451,7.97621452364759e-05,16.154117647058825,0.0003105831733033252,16.653725490196077,0.0008326063226231139,17.114901960784316,0.0018360662147928514
40,2.977959183673469,0.08440563846031754,4.64530612244898,0.09801320532014977,6.056734693877551,0.10888234906818095,7.359591836734694,0.11806246660547544,15.880784313725492,6.746018564285822e-05,16.428823529411765,0.00027072371344853745,16.892745098039217,0.0007435598049643864,17.320980392156862,0.0016741565308528213
41,3.0563265306122447,0.08042329802741127,4.767551020408163,0.09220181066124876,6.216122448979592,0.10155598088125134,7.553265306122449,0.10938332524259761,16.19764705882353,5.706495150941605e-05,16.703529411764706,0.0002359797159770377,17.131764705882354,0.0006639828216621612,17.527058823529412,0.0015263508516570826
42,3.1346938775510202,0.07664277382328619,4.889795918367347,0.0867349849588592,6.375510204081633,0.09470350661756853,7.746938775510204,0.10130056357198373,16.51450980392157,4.827919675812213e-05,16.978235294117646,0.00020569467536942962,17.37078431372549,0.000592875369007791,17.733137254901962,0.0013914394512425244
43,3.213061224489796,0.0730526871106981,5.012040816326531,0.08159229804556682,6.534897959183673,0.08829632833524231,7.940612244897959,0.0937780283091258,16.83137254901961,4.085233326684375e-05,17.25294117647059,0.00017929634036618647,17.609803921568627,0.0005293421194681562,17.93921568627451,0.001268314286549611
44,3.2914285714285714,0.06964240479832816,5.134285714285714,0.07675453109854519,6.694285714285714,0.08230733646629465,8.134285714285713,0.08678115949262072,17.148235294117647,3.457304675879375e-05,17.527647058823533,0.00015628590098878706,17.848823529411764,0.00047258158873540637,18.14529411764706,0.0011559606827010647
45,3.369795918367347,0.06640198039492776,5.256530612244898,0.07220360481656554,6.853673469387755,0.07671086274659981,8.32795918367347,0.08027700434242727,17.46509803921569,2.9263092899045276e-05,17.802352941176473,0.00013622856327124094,18.087843137254904,0.00042187640695020033,18.351372549019608,0.001053449671704795
46,3.448163265306122,0.06332210070101013,5.378775510204082,0.06792251185553241,7.013061224489796,0.07148262997733987,8.521632653061225,0.07423421498725571,17.781960784313725,2.4772082696864238e-05,18.077058823529413,0.00011874533360675961,18.32686274509804,0.000376584583913123,18.557450980392158,0.0009599309363349335
47,3.5265306122448976,0.0603940375631495,5.501020408163265,0.0638952532700484,7.172448979591836,0.06659969960171268,8.715306122448979,0.06862303292066184,18.098823529411767,2.097309764331015e-05,18.351764705882353,0.0001035058574706216,18.565882352941177,0.000336131668756403,18.763529411764708,0.0008746263141286511
48,3.604897959183673,0.05760960410933575,5.623265306122449,0.06010677872348289,7.331836734693877,0.06204041791603086,8.908979591836735,0.06341526265497319,18.415686274509806,1.7759001110454567e-05,18.626470588235293,9.022217720325452e-05,18.804901960784314,0.0003000037142247663,18.969607843137254,0.0007968238194589373
49,3.6832653061224487,0.05496111496248208,5.745510204081633,0.05654293024310285,7.491224489795918,0.05778436159436526,9.102653061224489,0.05858423669945064,18.732549019607845,1.5039334294971082e-05,18.901176470588236,7.864329090366558e-05,19.04392156862745,0.00026774096449268524,19.175686274509804,0.0007258721445064435
50,3.7616326530612243,0.052441349995616435,5.8677551020408165,0.053190389310071765,7.6506122448979585,0.0538122830867868,9.296326530612244,0.05410477368858529,19.049411764705884,1.2737703141619508e-05,19.17588235294118,6.855040962074536e-05,19.28294117647059,0.00023893219340225254,19.381764705882354,0.0006611756026586566
51,3.84,0.05004352124870519,5.99,0.05003662708658629,7.81,0.05010605635000589,9.49,0.049953131223294894,19.366274509803922,1.0789577839886291e-05,19.45058823529412,5.975282322465673e-05,19.521960784313727,0.0002132096272128306,19.5878431372549,0.0006021894804156542
52,3.84,0.05,5.99,0.05,7.81,0.05,9.49,0.05,19.68313725490196,9.140439153146736e-06,19.72529411764706,5.208429684184657e-05,19.760980392156863,0.00019024439247646328,19.793921568627454,0.0005484157662828645
53,3.84,0.0,5.99,0.0,7.81,0.0,9.49,0.0,20.0,7.744216431044088e-06,20.0,4.539992976248486e-05,20.0,0.00016974243555282632,20.0,0.0004993992273873336
